key,project,sprint.completeDate,sprint.endDate,sprint.id,sprint.name,sprint.startDate,sprint.state
XD-3426,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3425,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3424,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3423,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3419,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3418,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3417,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3416,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3412,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3407,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3404,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3402,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3401,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3400,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3399,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3398,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3397,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3396,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3395,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3394,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3393,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3387,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3384,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3381,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3380,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3378,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3377,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3376,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3373,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3370,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3369,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3367,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3366,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3364,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3362,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3359,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3358,xd,2015-10-03T00:12:14.092Z,2015-10-03T00:51:00.000Z,96,Sprint 58,2015-09-21T17:01:06.207Z,CLOSED
XD-3355,xd,2015-10-30T23:14:25.934Z,2015-10-31T00:00:00.000Z,99,Sprint 60,2015-10-19T17:04:56.465Z,CLOSED
XD-3354,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3353,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3352,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3351,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3350,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3349,xd,2015-09-01T23:35:26.223Z,2015-09-02T00:08:00.000Z,94,Sprint 56,2015-08-19T16:18:50.173Z,CLOSED
XD-3347,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3346,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3344,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3341,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3338,xd,2015-10-16T23:16:16.045Z,2015-10-17T00:44:00.000Z,98,Sprint 59,2015-10-05T16:54:14.761Z,CLOSED
XD-3335,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3334,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3332,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3331,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3330,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3329,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3328,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3326,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3325,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
XD-3322,xd,2015-08-05T02:05:30.305Z,2015-08-05T02:00:00.000Z,90,Sprint 54,2015-07-22T16:10:55.783Z,CLOSED
XD-3321,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3320,xd,2015-08-18T23:52:47.425Z,2015-08-19T00:47:00.000Z,92,Sprint 55,2015-08-05T17:57:28.773Z,CLOSED
XD-3319,xd,2015-09-17T15:27:35.028Z,2015-09-16T23:30:00.000Z,95,Sprint 57,2015-09-02T15:40:12.567Z,CLOSED
