field,fieldtype,from,fromString,to,toString,key,created,author
resolution,jira,,,8,Complete,SLICE-24,2010-02-22T23:57:44.726+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-24,2010-02-22T23:57:44.726+0000,U2
Workflow,jira,30552,Scrum Workflow,107820,Generic Scrum Workflow,SLICE-24,2015-01-08T13:24:38.723+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-23,2010-02-19T00:01:17.773+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-23,2010-02-19T00:01:17.773+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-23,2010-02-19T00:01:17.773+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-23,2010-02-19T00:02:01.105+0000,U2
timeestimate,jira,1800,1800,1200,1200,SLICE-23,2010-02-19T00:21:20.877+0000,U2
timespent,jira,,,600,600,SLICE-23,2010-02-19T00:21:20.877+0000,U2
timeestimate,jira,1200,1200,0,0,SLICE-23,2010-02-19T00:22:06.117+0000,U2
resolution,jira,,,8,Complete,SLICE-23,2010-02-19T00:22:06.307+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-23,2010-02-19T00:22:06.307+0000,U2
Workflow,jira,30492,Scrum Workflow,107775,Generic Scrum Workflow,SLICE-23,2015-01-08T13:24:38.015+0000,
Fix Version,jira,,,11416,Sprint 2,SLICE-22,2010-02-19T00:01:17.319+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-22,2010-02-19T00:01:17.319+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-22,2010-02-19T00:01:17.319+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-22,2010-02-19T00:05:38.903+0000,U2
timespent,jira,,,600,600,SLICE-22,2010-02-19T00:21:42.101+0000,U2
timeestimate,jira,1800,1800,1200,1200,SLICE-22,2010-02-19T00:21:42.101+0000,U2
timeestimate,jira,1200,1200,0,0,SLICE-22,2010-02-19T00:21:56.296+0000,U2
resolution,jira,,,8,Complete,SLICE-22,2010-02-19T00:21:56.483+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-22,2010-02-19T00:21:56.483+0000,U2
Workflow,jira,30491,Scrum Workflow,107774,Generic Scrum Workflow,SLICE-22,2015-01-08T13:24:38.001+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-21,2010-02-19T00:01:17.535+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-21,2010-02-19T00:01:17.535+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-21,2010-02-19T00:01:17.535+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-21,2010-02-19T00:05:33.791+0000,U2
timespent,jira,,,600,600,SLICE-21,2010-02-19T00:23:16.143+0000,U2
timeestimate,jira,3600,3600,3000,3000,SLICE-21,2010-02-19T00:23:16.143+0000,U2
timeestimate,jira,3000,3000,0,0,SLICE-21,2010-02-19T00:23:23.472+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-21,2010-02-19T00:23:23.588+0000,U2
resolution,jira,,,8,Complete,SLICE-21,2010-02-19T00:23:23.588+0000,U2
Workflow,jira,30490,Scrum Workflow,107781,Generic Scrum Workflow,SLICE-21,2015-01-08T13:24:38.120+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-20,2010-02-19T00:01:17.052+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-20,2010-02-19T00:01:17.052+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-20,2010-02-19T00:01:17.052+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-20,2010-02-19T00:01:57.062+0000,U2
resolution,jira,,,8,Complete,SLICE-20,2010-02-19T00:23:32.016+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-20,2010-02-19T00:23:32.016+0000,U2
Workflow,jira,30489,Scrum Workflow,107759,Generic Scrum Workflow,SLICE-20,2015-01-08T13:24:37.764+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-19,2010-02-14T22:42:30.937+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-19,2010-02-14T22:42:30.937+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-19,2010-02-14T22:42:30.937+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-19,2010-02-14T22:44:28.160+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-19,2010-02-14T22:52:35.934+0000,
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-19,2010-02-14T22:52:35.934+0000,
Fix Version,jira,11416,Sprint 2,,,SLICE-19,2010-02-14T22:52:35.934+0000,
Fix Version,jira,,,11419,Sprint 3,SLICE-19,2010-02-21T19:45:57.504+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-19,2010-02-21T19:45:57.504+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-19,2010-02-21T19:45:57.504+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-19,2010-02-22T23:58:40.616+0000,U2
timespent,jira,,,1800,1800,SLICE-19,2010-02-23T00:27:58.670+0000,U2
timeestimate,jira,14400,14400,12600,12600,SLICE-19,2010-02-23T00:27:58.670+0000,U2
timeestimate,jira,12600,12600,0,0,SLICE-19,2010-02-23T00:28:23.350+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-19,2010-02-23T00:28:23.509+0000,U2
resolution,jira,,,8,Complete,SLICE-19,2010-02-23T00:28:23.509+0000,U2
Workflow,jira,30422,Scrum Workflow,107809,Generic Scrum Workflow,SLICE-19,2015-01-08T13:24:38.533+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-18,2010-02-14T22:42:30.612+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-18,2010-02-14T22:42:30.612+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-18,2010-02-14T22:42:30.612+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-18,2010-02-14T22:44:56.517+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-18,2010-02-14T22:52:44.181+0000,
Fix Version,jira,11416,Sprint 2,,,SLICE-18,2010-02-14T22:52:44.181+0000,
Fix Version,jira,11395,1.0.0.M1,,,SLICE-18,2010-02-14T22:52:44.181+0000,
Fix Version,jira,,,11419,Sprint 3,SLICE-18,2010-02-21T19:45:57.329+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-18,2010-02-21T19:45:57.329+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-18,2010-02-21T19:45:57.329+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-18,2010-02-23T00:30:33.985+0000,U2
timespent,jira,,,1800,1800,SLICE-18,2010-02-23T00:46:42.400+0000,U2
timeestimate,jira,14400,14400,0,0,SLICE-18,2010-02-23T00:46:42.400+0000,U2
resolution,jira,,,8,Complete,SLICE-18,2010-02-23T00:46:48.437+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-18,2010-02-23T00:46:48.437+0000,U2
Workflow,jira,30421,Scrum Workflow,107743,Generic Scrum Workflow,SLICE-18,2015-01-08T13:24:37.492+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-17,2010-02-14T22:42:30.390+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-17,2010-02-14T22:42:30.390+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-17,2010-02-14T22:42:30.390+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-17,2010-02-14T22:45:01.634+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-17,2010-02-19T00:23:45.041+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-17,2010-02-21T19:44:50.220+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-17,2010-02-21T19:44:50.220+0000,U2
timespent,jira,,,10800,10800,SLICE-17,2010-02-21T21:01:31.996+0000,U2
timeestimate,jira,14400,14400,3600,3600,SLICE-17,2010-02-21T21:01:31.996+0000,U2
timeestimate,jira,3600,3600,0,0,SLICE-17,2010-02-21T21:01:48.775+0000,U2
timespent,jira,10800,10800,14400,14400,SLICE-17,2010-02-21T21:01:48.775+0000,U2
resolution,jira,,,8,Complete,SLICE-17,2010-02-21T21:01:57.959+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-17,2010-02-21T21:01:57.959+0000,U2
Workflow,jira,30420,Scrum Workflow,107797,Generic Scrum Workflow,SLICE-17,2015-01-08T13:24:38.366+0000,
Fix Version,jira,,,11395,1.0.0.M1,SLICE-16,2010-02-14T22:42:29.882+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-16,2010-02-14T22:42:29.882+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-16,2010-02-14T22:42:29.882+0000,U2
assignee,jira,,,nebhale,Ben Hale,SLICE-16,2010-02-14T22:45:07.619+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-16,2010-02-21T19:44:50.460+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-16,2010-02-21T19:44:50.460+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-16,2010-02-21T21:02:37.077+0000,U2
timespent,jira,,,3600,3600,SLICE-16,2010-02-21T21:43:46.854+0000,U2
timeestimate,jira,14400,14400,10800,10800,SLICE-16,2010-02-21T21:43:46.854+0000,U2
timeestimate,jira,10800,10800,0,0,SLICE-16,2010-02-21T21:45:05.270+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-16,2010-02-21T21:45:05.494+0000,U2
resolution,jira,,,8,Complete,SLICE-16,2010-02-21T21:45:05.494+0000,U2
Workflow,jira,30419,Scrum Workflow,107806,Generic Scrum Workflow,SLICE-16,2015-01-08T13:24:38.492+0000,
Story Points,custom,,3,,2,SLICE-15,2010-02-14T22:38:35.576+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-15,2010-02-14T22:42:28.418+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-15,2010-02-14T22:42:28.418+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-15,2010-02-14T22:42:28.418+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-15,2010-02-14T22:52:36.249+0000,
Fix Version,jira,11395,1.0.0.M1,,,SLICE-15,2010-02-14T22:52:36.249+0000,
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-15,2010-02-14T22:52:36.249+0000,
Fix Version,jira,,,11419,Sprint 3,SLICE-15,2010-02-21T19:45:57.842+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-15,2010-02-21T19:45:57.842+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-15,2010-02-21T19:45:57.842+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-15,2010-02-22T23:58:33.697+0000,U2
resolution,jira,,,8,Complete,SLICE-15,2010-02-23T00:28:47.253+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-15,2010-02-23T00:28:47.253+0000,U2
Workflow,jira,30418,Scrum Workflow,107802,Generic Scrum Workflow,SLICE-15,2015-01-08T13:24:38.435+0000,
Story Points,custom,,3,,2,SLICE-14,2010-02-14T22:38:25.448+0000,U2
