key,bugnr,created,
COMPASS-3358,1,2018-12-14T20:25:10.000+0000,
COMPASS-3353,1,2018-12-11T23:17:47.000+0000,
COMPASS-3350,1,2018-12-08T02:43:40.000+0000,
COMPASS-3338,1,2018-12-03T13:05:13.000+0000,
COMPASS-3337,1,2018-12-03T11:15:36.000+0000,
COMPASS-3333,1,2018-11-30T03:42:31.000+0000,
COMPASS-3332,1,2018-11-30T00:53:28.000+0000,
COMPASS-3330,1,2018-11-29T10:20:11.000+0000,
COMPASS-3329,1,2018-11-29T05:36:25.000+0000,
COMPASS-3321,1,2018-11-27T23:02:00.000+0000,
COMPASS-3320,1,2018-11-27T16:16:58.000+0000,
COMPASS-3319,1,2018-11-26T13:14:49.000+0000,
COMPASS-3297,1,2018-11-23T16:35:25.000+0000,
COMPASS-3284,1,2018-11-23T10:37:32.000+0000,
COMPASS-3283,1,2018-11-23T10:36:43.000+0000,
COMPASS-3269,1,2018-11-19T22:31:08.000+0000,
COMPASS-3268,1,2018-11-19T07:36:42.000+0000,
COMPASS-3265,1,2018-11-16T14:22:01.000+0000,
COMPASS-3259,1,2018-11-15T10:54:16.000+0000,
COMPASS-3251,1,2018-11-14T10:12:27.000+0000,
COMPASS-3241,1,2018-11-09T03:59:01.000+0000,
COMPASS-3238,1,2018-11-06T19:54:40.000+0000,
COMPASS-3237,1,2018-11-06T19:19:39.000+0000,
COMPASS-3232,1,2018-11-01T13:28:58.000+0000,
COMPASS-3222,1,2018-10-29T19:00:15.000+0000,
COMPASS-3221,1,2018-10-25T13:53:42.000+0000,
COMPASS-3215,1,2018-10-22T08:45:43.000+0000,
COMPASS-3201,1,2018-10-16T14:02:09.000+0000,
COMPASS-3200,1,2018-10-15T21:16:32.000+0000,
COMPASS-3196,1,2018-10-12T21:14:41.000+0000,
COMPASS-3195,1,2018-10-12T19:02:47.000+0000,
COMPASS-3194,1,2018-10-12T05:23:20.000+0000,
COMPASS-3184,1,2018-10-10T13:06:28.000+0000,
COMPASS-3183,1,2018-10-09T19:39:46.000+0000,
COMPASS-3182,1,2018-10-05T04:39:02.000+0000,
COMPASS-3180,1,2018-10-04T15:38:51.000+0000,
COMPASS-3176,1,2018-10-04T15:35:40.000+0000,
COMPASS-3169,1,2018-10-01T10:58:06.000+0000,
COMPASS-3156,1,2018-09-28T09:26:03.000+0000,
COMPASS-3155,1,2018-09-28T05:04:17.000+0000,
COMPASS-3147,1,2018-09-26T18:23:29.000+0000,
COMPASS-3145,1,2018-09-21T18:54:46.000+0000,
COMPASS-3141,1,2018-09-19T18:02:30.000+0000,
COMPASS-3139,1,2018-09-19T14:28:21.000+0000,
COMPASS-3126,1,2018-09-12T10:17:33.000+0000,
COMPASS-3124,1,2018-08-28T22:22:41.000+0000,
COMPASS-3123,1,2018-09-11T14:30:03.000+0000,
COMPASS-3121,1,2018-09-10T16:15:52.000+0000,
COMPASS-3118,1,2018-09-07T22:12:01.000+0000,
COMPASS-3107,1,2018-09-05T00:00:34.000+0000,
COMPASS-3106,1,2018-09-04T07:57:50.000+0000,
COMPASS-3105,1,2018-09-03T02:56:47.000+0000,
COMPASS-3104,1,2018-09-02T20:53:01.000+0000,
COMPASS-3103,1,2018-08-31T14:54:04.000+0000,
COMPASS-3102,1,2018-08-31T13:40:05.000+0000,
COMPASS-3101,1,2018-08-31T11:07:35.000+0000,
COMPASS-3099,1,2018-08-30T20:58:46.000+0000,
COMPASS-3095,1,2018-08-30T09:04:32.000+0000,
COMPASS-3091,1,2018-08-29T13:50:09.000+0000,
COMPASS-3090,1,2018-08-29T08:16:33.000+0000,
COMPASS-3084,1,2018-08-24T13:54:46.000+0000,
COMPASS-3083,1,2018-08-24T12:43:12.000+0000,
COMPASS-3082,1,2018-08-24T07:43:36.000+0000,
COMPASS-3070,1,2018-08-17T04:59:48.000+0000,
COMPASS-3058,1,2018-08-13T22:45:43.000+0000,
COMPASS-3057,1,2018-08-13T22:37:50.000+0000,
COMPASS-3056,1,2018-08-13T22:31:16.000+0000,
COMPASS-3050,1,2018-08-09T13:57:03.000+0000,
COMPASS-3049,1,2018-08-09T13:23:13.000+0000,
COMPASS-3046,1,2018-08-08T14:10:41.000+0000,
COMPASS-3043,1,2018-08-06T15:36:18.000+0000,
COMPASS-3042,1,2018-08-06T14:06:58.000+0000,
COMPASS-3040,1,2018-08-02T10:46:21.000+0000,
COMPASS-3039,1,2018-08-02T04:25:52.000+0000,
COMPASS-3038,1,2018-08-02T03:50:49.000+0000,
COMPASS-3037,1,2018-07-30T12:04:14.000+0000,
COMPASS-3036,1,2018-08-01T17:59:25.000+0000,
COMPASS-3032,1,2018-07-31T09:49:28.000+0000,
COMPASS-3031,1,2018-07-31T09:23:06.000+0000,
COMPASS-3026,1,2018-07-30T13:08:53.000+0000,
COMPASS-3025,1,2018-07-30T10:35:17.000+0000,
COMPASS-3024,1,2018-07-30T09:21:18.000+0000,
COMPASS-3022,1,2018-07-27T10:28:21.000+0000,
COMPASS-3021,1,2018-07-27T10:24:43.000+0000,
COMPASS-3019,1,2018-07-26T13:57:07.000+0000,
COMPASS-3017,1,2018-07-25T16:54:40.000+0000,
COMPASS-3016,1,2018-07-25T16:45:18.000+0000,
COMPASS-3015,1,2018-07-25T16:38:28.000+0000,
COMPASS-3010,1,2018-07-25T09:34:55.000+0000,
COMPASS-2994,1,2018-07-14T14:39:36.000+0000,
COMPASS-2993,1,2018-07-13T08:07:05.000+0000,
COMPASS-2992,1,2018-07-12T17:56:55.000+0000,
COMPASS-2991,1,2018-07-12T12:57:09.000+0000,
COMPASS-2990,1,2018-01-02T10:53:00.000+0000,
COMPASS-2987,1,2018-07-10T19:28:14.000+0000,
COMPASS-2986,1,2018-07-10T15:00:46.000+0000,
COMPASS-2984,1,2018-07-09T21:50:45.000+0000,
COMPASS-2976,1,2018-07-02T19:50:42.000+0000,
COMPASS-2969,1,2018-06-28T19:15:58.000+0000,
COMPASS-2965,1,2018-06-27T20:47:26.000+0000,
COMPASS-2964,1,2018-06-26T11:35:20.000+0000,
COMPASS-2963,1,2018-06-25T23:38:24.000+0000,
COMPASS-2958,1,2018-06-24T18:40:30.000+0000,
COMPASS-2957,1,2018-06-21T21:17:50.000+0000,
COMPASS-2952,1,2018-06-20T14:14:21.000+0000,
COMPASS-2948,1,2018-06-19T13:24:28.000+0000,
COMPASS-2947,1,2018-06-19T04:46:21.000+0000,
COMPASS-2946,1,2018-06-19T02:29:54.000+0000,
COMPASS-2945,1,2018-06-19T02:12:34.000+0000,
COMPASS-2944,1,2018-06-18T17:42:04.000+0000,
COMPASS-2941,1,2018-06-15T15:54:31.000+0000,
COMPASS-2940,1,2018-06-15T15:16:03.000+0000,
COMPASS-2939,1,2018-06-14T19:37:11.000+0000,
COMPASS-2938,1,2018-06-12T17:02:43.000+0000,
COMPASS-2936,1,2018-06-12T14:12:26.000+0000,
COMPASS-2935,1,2018-06-12T13:21:24.000+0000,
COMPASS-2934,1,2018-06-12T13:20:35.000+0000,
COMPASS-2932,1,2018-06-08T14:47:35.000+0000,
COMPASS-2931,1,2018-06-08T12:39:07.000+0000,
COMPASS-2929,1,2018-06-07T15:51:32.000+0000,
COMPASS-2928,1,2018-06-06T20:18:48.000+0000,
COMPASS-2927,1,2018-06-06T20:04:57.000+0000,
COMPASS-2922,1,2018-06-05T20:17:53.000+0000,
COMPASS-2919,1,2018-06-04T21:48:44.000+0000,
COMPASS-2918,1,2018-06-04T15:50:03.000+0000,
COMPASS-2916,1,2018-06-01T19:01:10.000+0000,
COMPASS-2915,1,2018-06-01T18:02:30.000+0000,
COMPASS-2909,1,2018-05-31T02:16:42.000+0000,
COMPASS-2908,1,2018-05-31T02:16:25.000+0000,
COMPASS-2905,1,2018-05-29T17:24:29.000+0000,
COMPASS-2891,1,2018-05-27T04:57:28.000+0000,
COMPASS-2887,1,2018-05-27T01:02:41.000+0000,
COMPASS-2886,1,2018-05-26T18:24:52.000+0000,
COMPASS-2885,1,2018-05-26T14:08:28.000+0000,
COMPASS-2883,1,2018-05-26T13:42:19.000+0000,
COMPASS-2882,1,2018-05-26T13:32:39.000+0000,
COMPASS-2881,1,2018-05-26T13:28:21.000+0000,
COMPASS-2880,1,2018-05-26T08:51:10.000+0000,
COMPASS-2879,1,2018-05-26T04:31:34.000+0000,
COMPASS-2878,1,2018-05-26T04:16:45.000+0000,
COMPASS-2876,1,2018-05-24T20:05:03.000+0000,
COMPASS-2875,1,2018-05-24T13:11:15.000+0000,
COMPASS-2874,1,2018-05-24T10:14:49.000+0000,
COMPASS-2873,1,2018-05-23T20:57:31.000+0000,
COMPASS-2872,1,2018-05-23T20:51:19.000+0000,
COMPASS-2867,1,2018-05-23T12:00:06.000+0000,
COMPASS-2866,1,2018-05-23T01:45:05.000+0000,
COMPASS-2863,1,2018-05-17T20:36:55.000+0000,
COMPASS-2862,1,2018-05-17T19:30:47.000+0000,
COMPASS-2861,1,2018-05-17T19:28:31.000+0000,
COMPASS-2860,1,2018-05-17T19:26:26.000+0000,
COMPASS-2859,1,2018-05-17T19:15:16.000+0000,
COMPASS-2858,1,2018-05-17T19:06:46.000+0000,
COMPASS-2857,1,2018-05-17T18:53:52.000+0000,
COMPASS-2856,1,2018-05-17T14:49:34.000+0000,
COMPASS-2844,1,2018-05-10T13:40:26.000+0000,
COMPASS-2843,1,2018-05-09T21:32:07.000+0000,
COMPASS-2842,1,2018-05-09T21:07:38.000+0000,
