key,rework_nr,created,
DNN-7913,1,2015-11-12 21:52:52.710000+00:00,
DNN-7913,1,2015-11-13 21:50:27.845000+00:00,
DNN-7913,1,2015-11-18 00:11:06.909000+00:00,
DNN-7904,1,2015-11-30 19:43:10.517000+00:00,
DNN-7903,1,2015-11-26 16:46:58.743000+00:00,
DNN-7891,1,2015-12-02 00:44:03.721000+00:00,
DNN-7890,1,2015-11-19 20:29:49.769000+00:00,
DNN-7888,1,2015-11-16 20:57:01.359000+00:00,
DNN-7874,1,2015-11-20 19:51:28.521000+00:00,
DNN-7861,1,2015-12-15 23:09:03.859000+00:00,
DNN-7831,1,2015-11-02 18:54:47.052000+00:00,
DNN-7831,1,2015-11-09 14:36:33.031000+00:00,
DNN-7818,1,2015-11-06 09:03:58.551000+00:00,
DNN-7809,1,2015-12-09 20:50:55.547000+00:00,
DNN-7809,1,2015-12-09 23:28:28.452000+00:00,
DNN-7809,1,2015-12-10 00:29:55.228000+00:00,
DNN-7769,1,2015-12-23 17:17:41.189000+00:00,
DNN-7748,1,2015-10-29 23:19:03.013000+00:00,
DNN-7737,1,2015-10-29 22:11:54.721000+00:00,
DNN-7731,1,2015-11-02 18:40:54.941000+00:00,
DNN-7677,1,2015-10-09 00:50:37.091000+00:00,
DNN-7634,1,2015-10-30 19:54:20.695000+00:00,
DNN-7623,1,2015-09-23 19:55:45.196000+00:00,
DNN-7617,1,2015-10-26 19:08:52.054000+00:00,
DNN-7614,1,2015-11-19 21:52:00.638000+00:00,
DNN-7614,1,2015-11-19 22:19:24.375000+00:00,
DNN-7610,1,2015-10-16 05:09:21.898000+00:00,
DNN-7608,1,2015-10-01 12:06:05.142000+00:00,
DNN-7593,1,2015-10-26 23:14:57.965000+00:00,
DNN-7590,1,2015-10-29 22:57:32.041000+00:00,
DNN-7570,1,2015-12-29 21:01:59.827000+00:00,
DNN-7570,1,2015-12-31 01:18:49.713000+00:00,
DNN-7565,1,2015-10-27 22:41:04.478000+00:00,
DNN-7565,1,2015-10-30 01:06:24.736000+00:00,
DNN-7565,1,2015-10-30 22:56:31.208000+00:00,
DNN-7565,1,2015-11-03 19:32:01.904000+00:00,
DNN-7555,1,2015-10-01 17:32:42.278000+00:00,
DNN-7550,1,2015-09-24 17:49:41.232000+00:00,
DNN-7500,1,2015-09-02 22:17:18.622000+00:00,
DNN-7485,1,2015-10-08 23:29:17.405000+00:00,
DNN-7481,1,2015-10-22 23:54:23.593000+00:00,
DNN-7480,1,2015-10-26 23:09:18.153000+00:00,
