key,delay_nr,fields.resolutiondate,
MESOS-3304,1,2015-09-04 19:16:05+00:00,
MESOS-3297,1,2015-08-22 00:18:01+00:00,
MESOS-3296,1,2015-11-19 01:55:50+00:00,
MESOS-3295,1,2015-09-14 16:24:33+00:00,
MESOS-3294,1,2015-08-28 00:11:19+00:00,
MESOS-3293,1,2015-11-05 00:05:04+00:00,
MESOS-3290,1,2015-08-18 19:12:09+00:00,
MESOS-3289,1,2015-09-25 16:40:04+00:00,
MESOS-3284,1,2015-08-18 00:17:17+00:00,
MESOS-3281,1,2015-08-18 04:51:33+00:00,
MESOS-3266,1,2015-09-14 18:06:30+00:00,
MESOS-3265,1,2015-09-14 18:06:13+00:00,
MESOS-3254,1,2015-09-14 18:34:16+00:00,
MESOS-3251,1,2015-08-18 16:41:46+00:00,
MESOS-3227,1,2016-01-07 18:03:09+00:00,
MESOS-3223,1,2015-09-10 20:06:06+00:00,
MESOS-3222,1,2015-09-25 16:39:43+00:00,
MESOS-3201,1,2015-08-17 23:19:14+00:00,
MESOS-3199,1,2015-11-23 09:24:47+00:00,
MESOS-3182,1,2015-08-04 17:55:22+00:00,
MESOS-3179,1,2015-08-08 00:14:41+00:00,
MESOS-3178,1,2015-08-03 18:01:42+00:00,
MESOS-3167,1,2015-08-10 19:54:18+00:00,
MESOS-3166,1,2015-08-17 17:53:05+00:00,
MESOS-3164,1,2015-10-02 13:12:53+00:00,
MESOS-3158,1,2015-09-28 00:42:22+00:00,
MESOS-3152,1,2015-08-14 11:04:16+00:00,
MESOS-3140,1,2015-11-19 20:51:52+00:00,
MESOS-3099,1,2015-10-16 12:18:16+00:00,
MESOS-3095,1,2015-08-06 20:01:29+00:00,
MESOS-3082,1,2016-01-18 23:42:00+00:00,
MESOS-3079,1,2015-08-03 21:30:28+00:00,
MESOS-3074,1,2015-11-16 16:26:37+00:00,
MESOS-3073,1,2016-01-15 23:28:38+00:00,
MESOS-3069,1,2015-08-31 17:27:51+00:00,
MESOS-3066,1,2015-08-31 17:22:29+00:00,
MESOS-3065,1,2015-12-19 01:36:06+00:00,
MESOS-3064,1,2015-12-07 18:59:56+00:00,
MESOS-3062,1,2015-12-04 00:53:08+00:00,
MESOS-3051,1,2015-09-24 18:05:33+00:00,
MESOS-3050,1,2015-08-20 17:59:08+00:00,
MESOS-3043,1,2015-09-14 18:05:54+00:00,
MESOS-3042,1,2015-09-14 18:04:42+00:00,
MESOS-3038,1,2015-09-14 18:05:25+00:00,
