key,delay_nr,fields.resolutiondate,
NEXUS-6566,1,2014-06-13 21:38:18+00:00,
NEXUS-6537,1,2014-06-10 19:07:22+00:00,
NEXUS-6448,1,2014-06-26 18:32:52+00:00,
NEXUS-6332,1,2014-06-10 18:54:42+00:00,
NEXUS-6323,1,2014-07-28 11:23:55+00:00,
NEXUS-6286,1,2014-05-14 17:12:51+00:00,
NEXUS-6220,1,2014-01-22 19:58:01+00:00,
NEXUS-6187,1,2014-01-10 10:38:11+00:00,
NEXUS-6185,1,2014-01-06 13:33:50+00:00,
NEXUS-6178,1,2014-01-08 14:00:00+00:00,
NEXUS-6177,1,2014-01-08 19:54:35+00:00,
NEXUS-6176,1,2014-01-06 12:37:02+00:00,
NEXUS-6175,1,2014-01-09 10:46:05+00:00,
NEXUS-6164,1,2014-01-08 19:46:57+00:00,
NEXUS-6125,1,2013-11-22 23:52:30+00:00,
NEXUS-6108,1,2013-11-15 01:05:50+00:00,
NEXUS-6099,1,2013-12-17 17:08:57+00:00,
NEXUS-6093,1,2013-11-18 11:34:07+00:00,
NEXUS-6048,1,2015-03-11 20:25:26+00:00,
NEXUS-6045,1,2013-12-16 23:40:18+00:00,
NEXUS-6030,1,2014-01-08 08:38:16+00:00,
NEXUS-6027,1,2013-12-03 13:15:24+00:00,
NEXUS-6004,1,2013-11-23 21:20:54+00:00,
NEXUS-5997,1,2014-09-15 15:45:16+00:00,
NEXUS-5940,1,2013-09-26 19:17:20+00:00,
NEXUS-5933,1,2013-10-21 19:54:06+00:00,
NEXUS-5840,1,2014-10-15 00:46:12+00:00,
NEXUS-5830,1,2015-01-23 21:44:36+00:00,
