"Improve build time of unit test build The unit test build on development takes way too long. Typically over 40 minutes. We need to investigate to see if we can help speed it up at all, since the actual text execution appears to take less than 9 minutes.",APSTUD-3580,
Create unit tests for snippet tab stop issue Related fix for a set of unit tests.,APSTUD-3650,
"Change the actions defined in Samples view to use commands and handlers so they could be invoked from the portal Currently Samples view defines the actions programmatically using the old IAction mechanism, and they are not accessible through the command service. We should update them to be defined through plugin.xml using commands and handlers. ",APSTUD-3666,
"Hook up rails server launching to new servers view Now that the servers view is back, we should hook up the rails application launching to use it as it used to in RadRails.",APSTUD-3688,
"Exclude files from the deploy tools using paths rather than by file types Currently there is only an option to cloak file types from the deployment assistent. But very often it s not only file types with sould be excludet. For an example. I have a PHP project remote and local, i have for example local other usernames and passwords for the database connection. So i have to skip on every deployment the or i would kill the live system. Currently there is no way, because cloaking .php is not realy an option. I think a textfield where i can store the complete path would be very useful. The syntax could be like in an .gitignore file.",APSTUD-3689,
"Set Mark Occurrences as off by default As the title says, make the default setting off.",APSTUD-3696,
Turn off Link with Editor in outline by default Set the default for this setting as off ,APSTUD-3697,
Mark Occurrences freezes IDE on large files ,APSTUD-3699,
"PHP Open Method ala PDT functionality PDT has an Open Method that allows the user to navigate to any method class in any PHP file in a project workspace. This makes it a lot easier to locate a particular method or browse methods when looking the right method to use. The list of methods is filterable find as you type and allows wildcards as well to allow more flexible method listings. Now that Aptana Studio 3 conflicts with PDT so that PDT s editor no longer works properly, it would be great if Aptana Studio added this feature to further round out the workflow that was lost from PDT. For reference, the Open Method feature in PDT is launched via the following shortcut by default ",APSTUD-3723,
"Add GIT Tagging Feature It would be really nice to add the ability to Tag releases in GIT using the Aptana menu items. Currently you can add Branches, Push, Pull, Commit, etc. but there is no support for tagging. The workaround right now is to open the terminal console and manually type in something like this git tag a 1.23 m 1.23 git push tags It would really save me time if we could just do this from the dialog menus. Thanks for considering this feature! Sincerely, Leighton Whiting",APSTUD-3761,
"Allow to manually change content assist delay to 0 Would be great to allow to manually change content assist delay to 0 for JS and CSS editors . It s very annoying to, for example, type b , then wait for CA to apear, then type o to get to border . And when typing bo quickly CA will not appear at all. See this thread ",APSTUD-3767,
Add analytics to the portal actions Attache the analytics ping to the portal dispatch . The ping should indicate the portal s controller and action e.g. ,APSTUD-3786,
"Simplify the extension point for contributing samples to Samples view Should make it more similar to how project template is defined, where the local path is a zip file instead of the root of a directory where the samples reside.",APSTUD-3793,
"Remove Firefox installation requirement on Studio startup and instead show prompt on Firefox debug launch Currently, we prompt the user for an install of Firefox if we can t find it at startup. We should instead do the check and install if they ve chosen to debug with Firefox.",APSTUD-3795,
Create wiki page describing how to add samples via a ruble ,APSTUD-3803,
"Jump to parent classes and methods from outline and editor I use php editor, so everything below is about it. In old Aptana there was a two great features, that I was using regulary Ouline shows a parent methods and classes. And there was an possibility to find some method with search bar in outline and jump to it right from quick outline new tab scrolled to the selected method or class was opened I was able to jump to parent method from the editor a litle green triangle was displayed near the inherited method on the left sidebar. Just right to the line numbers and a new tab was opened when Ctrl click on it or just click, can t remember . Newly opened tab was scrolled to the selected method, just like the outline jump to parent feature. Will this features return in the new Aptana Studio?",APSTUD-3819,
"Save all does not trigger Automatically sync my changes with the remote site I use Automatically sync my changes with the remote site Automatically sync from my machine to the remote site if I use Save , Aptana actually upload file on save, that s what I need. I often modify more files, before saving. So I always use Save all I use a shortcut for it, and it is the only way I m used to save to save them all in once, but in this case Aptana does not upload any file. I ask for Save all triggering Automatically sync... on each files that is saved; else I suggest a dedicated command, if most people don t like the behavior I ask for. Thank you for attention, Fabio.",APSTUD-3828,
"Simultaneous FTP Transfers? I may be just missing the setting, but it there somewhere in Aptana where I can set the number of simultaneous file transfers to speed up FTPing folders or large numbers of files? For example, in Filezilla, I can download upload 5 7 files at once, which greatly speeds up transfer times. Is this possible?",APSTUD-3838,
Add Push tags command for git We need to be able to explicitly push tags to a remote.,APSTUD-3861,
Ability to control the auto closing of quotes and brackets separately At the moment there is a setting found under Preferences Aptana Studio Editors in the Typing page called Auto close matching character pairs . This auto closing quotes and brackets however I would like the ability control each of these separately so auto closing quotes could be disabled but auto closing brackets could be kept turned on.,APSTUD-3924,
"dynamic language selection multi language support Hi friends, i would be very nice if Aptana would support multiple scripting languages in one file. In the current aptana version a .php file supports syntax highliting and auto completion for php source. In .html files we have the support for HTML. But very often you have template files where the markup is mixed. I addet you an example as attachment. In this example i have a .html file and the full html support, but the php code is not realy good readable and i have no support for php functions, ... . So it would be very cool if aptana would see that in the html file the ?php starts php code and switch to the php syntax mode for this part. The same think is possible with inline css code. What do you think? thanks and greetings Leo",APSTUD-3925,
"Ship PHP, Ruby and Python features separately from Studio Let me choose them which I need!",APSTUD-3941,
"Move Eclipse base for Studio to 3.7 and remove support for Eclipse 3.5 3.0.x 1.0.x are built against Eclipse 3.6.2. For 3.1 1.1, it makes sense to move to Eclipse 3.7.1 and drop support for Eclipse 3.5. ",APSTUD-3969,
"Remove the code which automigrates Studio 2.x projects now we are on Studio 3.1 Currently at startup, we automatically try to migrate any Studio 2.x projects to Studio 3. That s probably no longer necessary after one year and 7 releases later. Removing it should help startup performance on a workspace with a lot of projects. ",APSTUD-4071,
"Support rbenv usage I m using aptana studio 3 in my mac, osx lion, and I m using rbenv to install rubies, but when I try to run the debugger in aptana I always got this error line 4 exec rbenv not found I already set some environment variables in the aptana ruby debug configuration window RBENV ROOT RUBYLIB I m trying to run this command Program Interpreter Arguments d Program Arguments exec rake trace f d tmp Working Directory ",APSTUD-4183,
Merge Studio documentation into Guides Docs Take current wiki content in tis and move into guides space Create redirects for the most common studio pages Updating links in our current project,APSTUD-4188,
"Improve additional information popup for JavaScript From name type of property i.e. Boolean description Supported Platforms browser platform browser version parameter type, ... description Supported Platforms browser platform browser version ",APSTUD-4198,
Externalize UI strings in bundle dev ruble ,APSTUD-4212,
Externalize UI strings in capistrano ruble ,APSTUD-4213,
Externalize UI strings in coffeescript ruble ,APSTUD-4214,
Externalize UI strings in CSS ruble ,APSTUD-4215,
Externalize UI strings in cucumber ruble ,APSTUD-4216,
Externalize UI strings in engineyard ruble ,APSTUD-4217,
Externalize UI strings in github ruble ,APSTUD-4218,
Externalize UI strings in HAML ruble ,APSTUD-4219,
Externalize UI strings in Heroku ruble ,APSTUD-4220,
Externalize UI strings in HTML ruble ,APSTUD-4221,
Externalize UI strings in jQuery ruble ,APSTUD-4222,
Externalize UI strings in JS ruble ,APSTUD-4223,
Externalize UI strings in JSON ruble ,APSTUD-4224,
Externalize UI strings in Markdown ruble ,APSTUD-4225,
Externalize UI strings in math ruble ,APSTUD-4226,
Externalize UI strings in mercurial ruble ,APSTUD-4227,
Externalize UI strings in PHP ruble ,APSTUD-4228,
Externalize UI strings in Python ruble ,APSTUD-4229,
Externalize UI strings in Rails ruble ,APSTUD-4230,
Externalize UI strings in RSpec ruble ,APSTUD-4231,
Externalize UI strings in Ruby ruble ,APSTUD-4232,
Externalize UI strings in SASS ruble ,APSTUD-4233,
Externalize UI strings in shell script ruble ,APSTUD-4234,
Externalize UI strings in source ruble ,APSTUD-4235,
Externalize UI strings in text ruble ,APSTUD-4236,
Externalize UI strings in titanium ruble ,APSTUD-4237,
Externalize UI strings in WebFont ruble ,APSTUD-4238,
Externalize UI strings in wordpress ruble ,APSTUD-4239,
Externalize UI strings in XML ruble ,APSTUD-4240,
Externalize UI strings in YAML ruble ,APSTUD-4241,
Externalize UI strings in zen coding ruble ,APSTUD-4242,
"Improve Unit test coverage on the participant branch Improve these Unitests at the participant branch ParserPoolFactory No coverage ParseState 78 addProperty 0 , toString 0 ParserPool 79.3 create 50 94.3 ReconcileContext 43.9 openInputStream 0 UnifiedBuilder 0 61.3 0 44.8 clean 0 , deleteFile 0 , getURI 26.9 97.1 CSSTaskDetector 78.4 deleteFile 0 CSSValidator 89.3 HTMLTidyValidator 83 HTMLTaskDetector 92.7 JSParserValidator 87.5 48.5 47.3 75.9 index 72.9 JSTaskDetector 79.8 deleteFile 0 IndexManager 83.8 12.3 almost all methods 0 75.6 getFile 0 , getProject 0 BuildContext 85.3 IndexContainerJob 0 all IndexProjectJob 0 all 58.2 run 45 IndexRequestJob 44.1 0 , belongsTo 0 ",APSTUD-4282,
"Create JavaDocs as part of the build process During the Aptana Studio and Titanium Studio build process, we need to create a set of JavaDocs to make it easier for end users to navigate and understand. This ideally is placed into a javadocs folder in this area so that they can be uploaded as part of the nightly sync. There should be some set of ANT tasks we can use to generate the docs. We also need to replace the default stylesheet with the JBoss one ",APSTUD-4311,
